MJL__OL_0,
W,R
0.666433035,0.729670141
0.666596933,0.728310018
0.668182737,0.730974028
0.669675146,0.732250692
0.672121429,0.733395332
0.673433875,0.734326662
0.674419766,0.735320697
0.678251825,0.736188686
0.680442172,0.736933419
0.682026237,0.737502535
0.685778039,0.738215396
0.689210339,0.73804893
0.694396448,0.73749895
0.696395962,0.736280325
0.700593503,0.734212515
0.704134662,0.734876791
0.707768293,0.735311033
0.710269803,0.736365749
0.712956544,0.736179716
0.712970883,0.732238145
0.713835175,0.734343278
0.714667445,0.733196661
0.716426637,0.731891757
0.719148823,0.732087745
0.722127234,0.732262789
0.725343484,0.731577632
0.726522164,0.729839069
0.728259105,0.727899118
0.729164681,0.726856831
0.731552488,0.725006555
0.733999579,0.7240603
0.736614979,0.722744713
0.740148278,0.721822415
0.743939428,0.720404471
0.745724089,0.718878086
0.748762802,0.716945211
0.74952658,0.715334995
0.751581333,0.713806395
0.753245765,0.712518641
0.7548496,0.710503468
0.75944521,0.708575278
0.763200789,0.70663706
0.765648771,0.705044245
0.768741988,0.703317162
0.770492481,0.699825265
0.770798742,0.701482875
0.77185366,0.698060838
0.774607091,0.696329788
0.776887882,0.694397133
0.778412575,0.692928316
0.779928938,0.69182026
0.783724401,0.690209165
0.787349882,0.688859358
0.788958916,0.687521342
0.791317669,0.686342977
0.792841711,0.684088543
0.793556496,0.68294521
0.796641859,0.681189451
0.797405637,0.679579234
0.799760721,0.67768799
0.801718654,0.676523466
0.804242156,0.675391267
0.805960166,0.673744627
0.806558297,0.67242254
0.808806082,0.670881958
0.810518005,0.669067237
0.81216678,0.667830478
0.814129101,0.666050431
0.816409893,0.664117776
0.818373395,0.66191633
0.821725883,0.661218245
0.825521346,0.65960715
0.828099081,0.658999674
0.830757945,0.657971174
0.832056078,0.656389739
0.832357864,0.655419182
0.832364893,0.653487187
0.833872007,0.652057922
0.836922962,0.650587875
0.840718425,0.64897678
0.843166394,0.647456734
0.845278837,0.64543347
0.847558457,0.643822814
0.849839249,0.64189016
0.85211887,0.640279504
0.855567674,0.63891308
0.858193953,0.637057754
0.861989415,0.635446659
0.864269036,0.633836004
0.866549827,0.631903349
0.867968954,0.630369425
0.869594397,0.628360478
0.872629596,0.627393601
0.877263341,0.625768237
0.880222864,0.623527413
0.881743392,0.622238977
0.884777419,0.6215941
0.889657451,0.619195368
0.89161628,0.616762133
0.896928756,0.6148286
0.899208377,0.613217944
0.902245918,0.611607069
0.905158453,0.608680031
0.909843872,0.606452884
0.91445045,0.604735772
0.918197404,0.601942477
0.920477024,0.600331822
0.924271315,0.599042726
0.92684934,0.596849046
0.928835242,0.594533418
0.928841099,0.592923422
0.93187864,0.591312546
0.933063124,0.588964112
0.935684646,0.586803458
0.937207517,0.584871023
0.939781016,0.5834988
0.942522336,0.582293491
0.945462014,0.581077386
0.947081576,0.57907218
0.95164316,0.57520687
0.951661459,0.577134023
0.954768351,0.573191556
0.956207087,0.570697562
0.959132132,0.569144858
0.960974965,0.567277407
0.96229037,0.565221817
0.964852388,0.564111967
0.966848439,0.562322505
0.967611046,0.561034288
0.969255453,0.559452141
0.970288472,0.557420792
0.972775872,0.556283307
0.975212514,0.554914105
0.977170802,0.553859587
0.979585249,0.552162676
0.982007055,0.550690371
0.98356956,0.5494377
0.985524084,0.548453248
0.985791864,0.546248527
0.989045858,0.54491173
0.991169856,0.543639516
0.995086251,0.541647339
0.996080594,0.540251141
0.998009889,0.538485551
1.001290476,0.536390119
1.003116007,0.53540421
1.005604328,0.534297363
1.007886292,0.532042709
1.011684097,0.529787616
1.014984285,0.528319775
1.016786698,0.52718864
1.01850267,0.525709968
1.019282051,0.52463343
1.02201902,0.523659187
1.023837777,0.522378117
1.029180808,0.520615771
1.031683393,0.519556862
1.034463901,0.518189051
1.041562968,0.517327543
1.045840917,0.515931761
1.051147536,0.515608225
1.054070217,0.514705482
1.05797234,0.51464025
1.062402484,0.515075752
1.066310559,0.515349588
1.070730005,0.516750416
1.073117875,0.518177849
1.080686543,0.521073647
1.087929749,0.523226456
1.091276352,0.526866559
1.094090955,0.529793948
1.10035149,0.532337912
1.103354273,0.53373283
1.106397287,0.537166144
1.10951787,0.539643394
1.11320452,0.541028159
1.115470083,0.543281495
1.119253831,0.544890394
1.121861791,0.546866022
1.126059892,0.549074408
1.128068828,0.549529991
1.131358311,0.551004866
1.13376129,0.552137129
1.137300655,0.553430825
1.13989033,0.555303167
1.14119137,0.556475999
1.144216026,0.558407116
1.146552024,0.56065435
1.147331137,0.559586877
1.149517416,0.561449663
1.152541443,0.561624693
1.155822512,0.562622446
1.158280838,0.563869569
1.16086686,0.56484227
1.161784986,0.565172948
1.164853235,0.565731085
1.165083441,0.567218257
1.168793961,0.567593362
1.171463698,0.568703187
1.177441702,0.570499314
1.180622242,0.571503117
1.183689134,0.572433938
1.1867098,0.573124339
1.190261531,0.574295453
1.192662059,0.575137023
1.194204291,0.575598704
1.19871957,0.576745263
1.202153444,0.578375286
1.205595315,0.579135901
1.208559658,0.5802844
1.211290489,0.580997671
1.21461717,0.581892639
1.217597088,0.583626232
1.221804968,0.58434878
1.223701679,0.584787997
1.227063563,0.58565165
1.22900127,0.586396456
1.231882869,0.587140989
1.234302031,0.587682916
1.236704208,0.588071302
1.239225837,0.588875386
1.243276605,0.589932817
1.244901212,0.590899834
1.246340108,0.591795349
1.248682617,0.593152731
1.251574539,0.594784157
1.253343659,0.595706502
1.256252456,0.595726529
1.261235959,0.596449582
1.264584902,0.59701211
1.266929776,0.598684036
1.270113125,0.599377279
1.27350624,0.599427498
1.276703439,0.599262591
1.279386004,0.600688448
1.28199483,0.603125045
1.285333165,0.603709937
1.288646932,0.605284258
1.291464238,0.606316948
1.294863087,0.607629301
1.297597346,0.608364933
1.301000413,0.609879172
1.30394174,0.612134656
1.304167031,0.610971817
1.307233245,0.61208898
1.310268512,0.612504197
1.311615295,0.613205762
1.313027421,0.614708015
1.313344335,0.6171018
1.313352116,0.618050151
1.313360251,0.615814044
1.316041534,0.619537126
1.320363125,0.619911539
1.322100217,0.620823366
1.325695426,0.622353643
1.32780461,0.624008906
1.328905106,0.625329379
1.329988856,0.626430719
1.331859022,0.628264207
1.336469088,0.629513174
1.340252836,0.631122072
1.344210114,0.633516049
1.349333832,0.634983428
1.352357316,0.637236545
1.3553808,0.639489661
1.358405456,0.641420779
1.362729581,0.643364599
1.364454767,0.645283013
1.365962409,0.647536569
1.368893177,0.649275162
1.372771984,0.650754585
1.374284312,0.651720144
1.37882481,0.653650822
1.382080608,0.654739606
1.384122057,0.65590328
1.386389963,0.657512617
1.387410254,0.65978064
1.389406419,0.66169773
1.392433417,0.662984848
1.395456902,0.665237965
1.398486243,0.665881085
1.399749396,0.668317125
1.403778805,0.66942154
1.406046711,0.671030877
1.409830459,0.672639776
1.412093317,0.675539753
1.416635348,0.677145789
1.420417925,0.679076687
1.424444409,0.680791596
1.425709315,0.682939141
1.429491892,0.684870039
1.430610395,0.686045231
1.433272126,0.687444935
1.437814966,0.688731614
1.439327294,0.689697173
1.442963876,0.690640145
1.444138947,0.692325437
1.444619856,0.693237628
1.445369577,0.695491403
1.449125082,0.697207637
1.452539142,0.698136873
1.452933559,0.699675198
1.455689011,0.700372064
1.458386011,0.701803448
1.460502226,0.702570995
1.462014554,0.703536554
1.463524539,0.705146111
1.466549195,0.707077229
1.469575022,0.708686346
1.473820095,0.709682108
1.477902782,0.711259925
1.482445623,0.712546604
1.486171645,0.712661802
1.488798434,0.714002703
1.490370115,0.716014741
1.493526492,0.716461047
1.496150028,0.718696391
1.498522277,0.720185794
1.501406047,0.720707361
1.503507316,0.721824804
1.506134105,0.723165705
1.507708226,0.724506912
1.509809495,0.725624355
1.510868589,0.726751493
1.512963161,0.726816029
1.516120623,0.726964188
1.520141467,0.728062661
1.522429311,0.728974853
1.525056913,0.730092144
1.528211664,0.730985671
1.531365601,0.732102809
1.535585111,0.733313608
1.538726143,0.73433678
1.541354559,0.73523046
1.543981349,0.736571361
1.546083431,0.737465193
1.547933812,0.739222379
1.551338637,0.739699774
1.553967053,0.740593454
1.556597096,0.741039913
1.560294463,0.741846508
1.561854743,0.742603662
1.566589309,0.743273121
1.568692205,0.743943343
1.571848582,0.744389649
1.575528039,0.745730245
1.578157269,0.746400314
1.581920823,0.747752591
1.585520252,0.747963453
1.589726857,0.749080286
1.592882421,0.749750203
1.596037985,0.75042012
1.597371636,0.751032752
1.60024459,0.751536952
1.604978343,0.752430022
1.608136347,0.752429107
1.609737067,0.752343024
1.612870913,0.753098566
1.617607106,0.753320804
1.622102498,0.753653296
1.624447822,0.753766042
1.627077866,0.754212501
1.630762204,0.754211433
1.634470319,0.754306639
1.6370774,0.754433213
1.640232964,0.75510313
1.642864634,0.755102368
1.64683575,0.755616911
1.649704536,0.755771217
1.654439916,0.756217065
1.656018105,0.756440218
1.65920118,0.756927183
1.662859634,0.756661846
1.666543973,0.756660778
1.671571391,0.756923598
1.672333648,0.7566591
1.676545134,0.756434269
1.679703952,0.756209743
1.684440958,0.756208371
1.687598963,0.756207456
1.690129097,0.756261293
1.693918226,0.755311183
1.698656046,0.755086199
1.702504087,0.754943851
1.704445721,0.755084521
1.707603725,0.755083606
1.711288063,0.755082538
1.714871908,0.755597195
1.719180634,0.755751082
1.722864973,0.755750015
1.727242119,0.75559361
1.732866947,0.755299895
1.735501871,0.75440469
1.739617109,0.754276168
1.741817067,0.75462647
1.74655326,0.754848708
1.749184117,0.755071556
1.75128864,0.755294557
1.756022392,0.756187626
1.758165255,0.756241576
1.762335961,0.756856628
1.766019486,0.757079171
1.770530686,0.757551848
1.773909616,0.758418547
1.777591514,0.759088311
1.781801373,0.759310701
1.782893727,0.759519048
1.784956937,0.759980618
1.789693943,0.759979245
1.792851948,0.75997833
1.795263938,0.759515463
1.80127492,0.759528668
1.804432925,0.759527753
1.807634148,0.759511879
1.81022748,0.758184411
1.815493262,0.757512054
1.816921366,0.756881476
1.820759856,0.756616086
1.823921115,0.755720729
1.827079119,0.755719814
1.82971079,0.755719051
1.832386519,0.756220067
1.836028425,0.755269999
1.839712764,0.755268932
1.84475673,0.756216482
1.848658816,0.75571356
1.852339901,0.756606935
1.857122161,0.757526754
1.859178176,0.757723005
1.862860074,0.758392769
1.865487677,0.759510059
1.869485202,0.759493954
1.87233246,0.758837245
1.876017613,0.758612566
1.881860192,0.758176512
1.887072255,0.758162142
1.892335596,0.758160617
1.894230403,0.758172928
1.898650791,0.758382397
1.901807982,0.758605092
1.906017841,0.758827483
1.9102277,0.759049873
1.915873492,0.759480511
1.91969846,0.75994157
1.925489761,0.759492671
1.931336255,0.75947603
1.934439068,0.759042857
1.939176888,0.758817873
1.940613913,0.759473341
1.944437788,0.75948718
1.948648461,0.75948596
1.952332799,0.759484892
1.956076676,0.75946886
1.959174329,0.75970652
1.962330706,0.760152826
1.966541379,0.760151605
1.969699383,0.76015069
1.972856574,0.760373386
1.976015392,0.76014886
1.980817097,0.75946169
1.982333028,0.759699808
1.9865437,0.759698588
1.991805414,0.760144284
1.994963419,0.760143369
1.998121423,0.760142454
2.003386391,0.759693707
2.008650071,0.759453624
2.011808549,0.759467656
2.016018409,0.759690046
2.019700307,0.76035981
2.022858311,0.760358895
2.027200607,0.760762104
2.029700654,0.760356912
2.03391214,0.760132081
2.039177108,0.759683335
2.041809592,0.759458962
2.042668151,0.759443766
2.045497998,0.758339841
2.047603334,0.758339231
2.051950588,0.75812722
2.055502413,0.757218889
2.06076738,0.756770143
2.062872717,0.756769533
2.064978866,0.756545312
2.070510684,0.756807986
2.072347543,0.756543177
2.077083737,0.756765414
2.080242555,0.756540889
2.08392608,0.756763431
2.088135125,0.757209432
2.089713314,0.757432586
2.092156163,0.757458641
2.095502175,0.757654518
2.099707967,0.758994962
2.102336383,0.759888642
2.104514424,0.760739699
2.109173845,0.761228323
2.116014561,0.761673561
2.118119084,0.761896561
2.123382425,0.761895036
2.127593097,0.761893816
2.129250065,0.762046386
2.132856438,0.761892291
2.13706711,0.76189107
2.141620276,0.762042801
2.144962122,0.761888782
2.149172794,0.761887562
2.152331612,0.761663036
2.157083039,0.76203832
2.16233196,0.761660138
2.165489964,0.761659223
2.171805973,0.761657393
2.178647502,0.76187902
2.183910843,0.761877495
2.187068034,0.762100191
2.190224411,0.762546497
2.195487752,0.762544971
2.198119423,0.762544209
2.203468939,0.762681805
2.205486473,0.762989294
2.209169998,0.763211837
2.213905377,0.763657686
2.219166277,0.764326992
2.221797948,0.76432623
2.22600862,0.76432501
2.228202191,0.76464542
2.231271961,0.764323484
2.235482634,0.764322264
2.240572401,0.764641836
2.243903165,0.764543434
2.248640986,0.764318451
2.252942612,0.764638251
2.258114185,0.764539316
2.259165227,0.764986232
2.265312823,0.764634666
2.268116973,0.763865586
2.271803752,0.763193686
2.276015238,0.762968855
2.281278579,0.76296733
2.284436584,0.762966415
2.287596215,0.762518278
2.290062804,0.761999782
2.29391141,0.762740059
2.299173938,0.762962144
2.301803167,0.763632213
2.305485879,0.764078367
2.30860856,0.764622119
2.31390397,0.764970369
2.317061161,0.765193064
2.320973991,0.765932391
2.324425771,0.766308982
2.328110109,0.766307914
2.330251649,0.765929702
2.334952452,0.766305931
2.337580869,0.767199611
2.34126358,0.767645765
2.345470999,0.768538987
2.349154524,0.76876153
2.351889958,0.768551142
2.357049535,0.768759242
2.360733873,0.768758174
2.364260168,0.768547558
2.36757703,0.768532581
2.371262995,0.768084292
2.372841997,0.768083834
2.376632769,0.767887044
2.379685967,0.76763463
2.38389664,0.76763341
2.389005369,0.767226531
2.391793278,0.7671839
2.396528658,0.767629749
2.40021381,0.767405071
2.40137558,0.767222946
2.406004298,0.767179782
2.410741305,0.767178409
2.413745791,0.767219361
2.417582021,0.767623648
2.420740839,0.767399122
2.425479472,0.766950528
2.430216479,0.766949155
2.434953486,0.766947782
